date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-02-28,20,11,27,,,59,8.5,,1010,
2019-03-01,20,12,27,,,40,9.4,,1009.2,
2019-03-02,20.4,13,28,,,95,8.6,,1009.6,
2019-03-03,20.9,12,28,,,35,10.1,,1008.5,
2019-03-04,19.5,13,26,,,62,11.7,,1008.9,
2019-03-05,18.2,12,27,,,306,8.5,,1011.4,
2019-03-06,18.1,10,26,,,72,9.4,,1014.6,
2019-03-07,20.2,12,28,,,45,9.4,,1012.7,
2019-03-08,21,13,27,,,89,8.7,,1009.6,
2019-03-09,21,14,27,,,83,6.6,,1006.5,
2019-03-10,21.8,15,27,,,91,9.6,,1007.1,
2019-03-11,21.9,15,29,,,83,9.4,,1008,
2019-03-12,20.2,11,30,,,124,11.2,,1008.9,
2019-03-13,20.8,13,29.3,,,165,9.4,,1006.5,
2019-03-14,20.8,12,28,,,114,10.4,,1006.6,
2019-03-15,19.1,13,26,,,107,14.3,,1009.7,
2019-03-16,16.9,9,24,,,47,10.9,,1012.3,
2019-03-17,17.6,12,23,,,51,10.5,,1011.7,
2019-03-18,17.4,10,24,,,94,12.5,,1011,
2019-03-19,17.1,8,25,,,151,10.3,,1011,
2019-03-20,17,9,24,,,46,12.2,,1011.5,
2019-03-21,16,10,23,,,315,12.3,,1013.6,
2019-03-22,16.4,9,24,,,117,12.2,,1013.4,
2019-03-23,17.5,10,25,,,115,11.7,,1012.4,
2019-03-24,19.4,11,25,,,347,11.7,,1012.4,
2019-03-25,19.9,12,27,,,10,15.6,,1011.9,
2019-03-26,17.5,8,26,,,14,16,,1014.1,
2019-03-27,17.1,8,26,,,9,14.2,,1014.8,
2019-03-28,17.8,8,26,,,24,12.2,,1013.7,
2019-03-29,20,10,29,,,34,9.9,,1009.7,
2019-03-30,21.2,15,28,,,147,9.8,,1006.6,
2019-03-31,21,16,26,,,274,10.9,,1007.6,
2019-04-01,20.2,14,26,,,149,13,,1009,
2019-04-02,20,12,27,,,159,10.2,,1010.8,
2019-04-03,20.3,15,26,,,188,12.2,,1011.7,
2019-04-04,19.4,14,26,,,264,8.9,,1012.4,
2019-04-05,19.3,14,24,,,98,11.5,,1010.6,
2019-04-06,18.9,14,24,,,200,9.6,,1009.1,
2019-04-07,20,12,27,,,184,11.5,,1008.4,
2019-04-08,18.2,14,24,,,43,12,,1010.4,
2019-04-09,17,11,23,,,11,13.1,,1013.4,
2019-04-10,19.2,10,27,,,141,8.1,,1009.8,
2019-04-11,21.3,15,28,,,190,14,,1005.1,
2019-04-12,20.9,15,27,,,155,14.7,,1003.4,
2019-04-13,20.9,14,28,,,167,13.2,,1003.5,
2019-04-14,19.5,12,28,,,57,10.5,,1006.8,
2019-04-15,19.7,10,28,,,102,12.7,,1009.7,
2019-04-16,22,16,29,,,138,14.7,,1008.9,
2019-04-17,22.3,17,29,,,135,11.6,,1007.1,
2019-04-18,23.1,17,30,,,288,11.4,,1004.3,
2019-04-19,18.1,12,23,,,13,13.6,,1011.4,
2019-04-20,18.5,9,26,,,28,13,,1012.6,
2019-04-21,21.4,14,29,,,28,12.1,,1010.5,
2019-04-22,21.2,15,28,,,353,10,,1009.2,
2019-04-23,21.6,15,28,,,62,10.3,,1007.6,
2019-04-24,21.8,15,28,,,160,13.8,,1005.5,
2019-04-25,21.4,13,29,,,104,12.2,,1005.2,
2019-04-26,19.8,14,26,,,331,11,,1008.8,
2019-04-27,19.5,11,27,,,63,8.4,,1009.2,
2019-04-28,21.3,16,27,,,279,8.3,,1006.3,
2019-04-29,19.7,15,26,,,42,11,,1006.8,
2019-04-30,18.8,13,27,,,38,10.9,,1008.5,
2019-05-01,19.6,12,29,,,71,10.3,,1007.7,
2019-05-02,21.4,16,28,,,341,11.7,,1007.6,
2019-05-03,21.2,16,28,,,172,10.1,,1005,
2019-05-04,21.8,17,27,,,176,9.1,,1003,
2019-05-05,21.3,17,28,,,157,13.9,,1004.2,
2019-05-06,20.9,15,27,,,169,12.5,,1006.2,
2019-05-07,21.8,12,29,,,162,10.9,,1005.6,
2019-05-08,22.9,16,29,,,213,13.5,,1003.4,
2019-05-09,22.7,15.9,29,,,232,14.9,,1001.7,
2019-05-10,22.9,16,29,,,182,11.7,,1001.6,
2019-05-11,22.1,14,29,,,81,9.6,,1002.4,
2019-05-12,22.9,16,29,,,164,10.7,,1002.8,
2019-05-13,23.2,16,29,,,169,10.7,,1003.2,
2019-05-14,22.7,14,30,,,142,8.9,,1003.3,
2019-05-15,20.8,11,29,,,71,11.6,,1004.4,
2019-05-16,19.8,15,27,,,54,10.5,,1007.1,
2019-05-17,19.2,13,25.6,,,196,10.5,,1007.4,
2019-05-18,21.3,16,28,,,192,9.4,,1005.1,
2019-05-19,22,16,29,,,32,10.3,,1004.2,
2019-05-20,23.1,18,29,,,177,10.5,,1003.7,
2019-05-21,22.1,11.6,30,,,96,9.9,,1007.6,
2019-05-22,21.4,14,29,,,106,9.5,,1003.8,
2019-05-23,22.2,17,29,,,34,13.1,,1003.5,
2019-05-24,20.4,15,26,,,71,12.2,,1006,
2019-05-25,20.9,16,28,,,351,12.5,,1006.6,
2019-05-26,21.1,15.4,28,,,337,12.6,,1006.9,
2019-05-27,21,14,27,,,48,11.7,,1006,
2019-05-28,22,15.5,29,,,45,13,,1003.3,
2019-05-29,21.9,17,29,,,101,14.6,,1001.2,
2019-05-30,22.5,17,29,,,75,16.6,,1002.8,
2019-05-31,20.8,17,26,,,69,12.1,,1005.8,
2019-06-01,19.9,17,25,,,9,14.7,,1006.4,
2019-06-02,19.5,16,23,,,16,16,,1006.6,
2019-06-03,18.4,15,22,,,0,10.1,,1007.2,
2019-06-04,18.1,15,24,,,89,9.4,,1008,
2019-06-05,18.1,15,23,,,146,11.7,,1008.2,
2019-06-06,17.9,14,25,,,184,9.1,,1008.8,
2019-06-07,18,15,24,,,315,8,,1008.2,
2019-06-08,20.9,14,28,,,33,13.3,,1007.8,
2019-06-09,21.1,13,27,,,29,13.2,,1008.4,
2019-06-10,20.1,14,26,,,28,21.8,,1011.4,
2019-06-11,19.3,14,25,,,21,16.7,,1012.5,
2019-06-12,19.8,14,26,,,28,15.5,,1010.2,
2019-06-13,18.2,15,23,,,11,12.7,,1010.9,
2019-06-14,18.8,15,24,,,20,13,,1011.7,
2019-06-15,20.1,15,26,,,46,10.9,,1009,
2019-06-16,20.5,15,27,,,94,11.7,,1006.5,
2019-06-17,22,16,28,,,45,13.3,,1006.3,
2019-06-18,21,17,27,,,40,12.9,,1008.3,
2019-06-19,19.4,16,26,,,78,11.2,,1009.5,
2019-06-20,19.5,14,27,,,27,10.7,,1008.4,
2019-06-21,20.8,16,27,,,58,11.6,,1008.6,
2019-06-22,20.1,17,25.1,,,5,9.2,,1009.3,
2019-06-23,19.4,15,24,,,97,11.7,,1009.5,
2019-06-24,17.9,15,22,,,122,11.8,,1008.5,
2019-06-25,18,14,23,,,69,10.6,,1009.3,
2019-06-26,18.7,16,25,,,343,8.6,,1010.7,
2019-06-27,18.8,16,24,,,16,14.8,,1012.4,
2019-06-28,17.9,14,24,,,347,16,,1012.6,
2019-06-29,17,13,22,,,7,14,,1013.2,
2019-06-30,17,13,23,,,342,12.9,,1012.3,
